com.samsung.shealth.tracker.pedometer_day_summary,6190043,5,,,,,,,,,,,,,,,,
step_count,binning_data,active_time,recommendation,run_step_count,update_time,source_package_name,create_time,source_info,speed,distance,calorie,walk_step_count,deviceuuid,pkg_name,healthy_step,achievement,datauuid,day_time
3980,0a34878f-f94d-4fa8-8bab-4b7894e78a4f.binning_data.json,2016494,10000,79,23:01.8,com.sec.android.app.shealth,02:25.0,0a34878f-f94d-4fa8-8bab-4b7894e78a4f.source_info.json,1.4320444,2887.7102,132.44997,3901,VfS0qUERdZ,com.sec.android.app.shealth,0,0a34878f-f94d-4fa8-8bab-4b7894e78a4f.achievement.json,0a34878f-f94d-4fa8-8bab-4b7894e78a4f,1.62337E+12
1336,6b423074-c3e5-4a46-8bec-496d38c9159a.binning_data.json,726965,10000,0,18:38.2,com.sec.android.app.shealth,18:38.2,,1.3296503,966.61,42.739998,1336,EIy+BrLOSY,com.sec.android.app.shealth,0,6b423074-c3e5-4a46-8bec-496d38c9159a.achievement.json,6b423074-c3e5-4a46-8bec-496d38c9159a,1.62406E+12
3901,35940dd9-db7e-4396-927e-270adc872edd.binning_data.json,2079781,10000,1,00:01.5,com.sec.android.app.shealth,00:01.5,,1.3568447,2821.94,123.87998,3900,EIy+BrLOSY,com.sec.android.app.shealth,0,35940dd9-db7e-4396-927e-270adc872edd.achievement.json,35940dd9-db7e-4396-927e-270adc872edd,1.62397E+12
1445,dcc580b6-1c17-45ba-bc2d-f51749fd8f3e.binning_data.json,700692,10000,101,35:03.2,com.sec.android.app.shealth,01:27.2,dcc580b6-1c17-45ba-bc2d-f51749fd8f3e.source_info.json,1.5649811,1096.57,51.73,1344,VfS0qUERdZ,com.sec.android.app.shealth,0,dcc580b6-1c17-45ba-bc2d-f51749fd8f3e.achievement.json,dcc580b6-1c17-45ba-bc2d-f51749fd8f3e,1.6232E+12
3925,ec2a2a83-b21d-408b-b13a-2b6d32f06fb1.binning_data.json,2064904,10000,26,30:18.9,com.sec.android.app.shealth,30:18.9,,1.3803256,2850.24,125.42999,3899,EIy+BrLOSY,com.sec.android.app.shealth,0,ec2a2a83-b21d-408b-b13a-2b6d32f06fb1.achievement.json,ec2a2a83-b21d-408b-b13a-2b6d32f06fb1,1.62389E+12
1552,1845723d-a52f-42c7-8d06-7dd2981460c4.binning_data.json,781938,10000,1,57:31.5,com.sec.android.app.shealth,02:41.4,1845723d-a52f-42c7-8d06-7dd2981460c4.source_info.json,1.4162111,1107.39,52.73,1551,VfS0qUERdZ,com.sec.android.app.shealth,0,1845723d-a52f-42c7-8d06-7dd2981460c4.achievement.json,1845723d-a52f-42c7-8d06-7dd2981460c4,1.62354E+12
1431,412a119b-5e65-4a37-b553-d49bc5ce0c72.binning_data.json,817309,10000,0,28:56.9,com.sec.android.app.shealth,47:25.7,412a119b-5e65-4a37-b553-d49bc5ce0c72.source_info.json,1.254237,1025.1,46.739998,1431,VfS0qUERdZ,com.sec.android.app.shealth,0,412a119b-5e65-4a37-b553-d49bc5ce0c72.achievement.json,412a119b-5e65-4a37-b553-d49bc5ce0c72,1.62363E+12
6858,d5ad780d-40cb-4b39-a7fd-6c3a06adc13d.binning_data.json,3511044,10000,5,00:01.3,com.sec.android.app.shealth,00:01.3,,1.4078916,4943.1704,217.89998,6853,EIy+BrLOSY,com.sec.android.app.shealth,0,d5ad780d-40cb-4b39-a7fd-6c3a06adc13d.achievement.json,d5ad780d-40cb-4b39-a7fd-6c3a06adc13d,1.62432E+12
4013,38a27735-6d2c-4628-b612-6bd237a33f15.binning_data.json,2107847,10000,0,01:11.9,com.sec.android.app.shealth,00:01.4,,1.3591399,2864.86,132.93999,4013,EIy+BrLOSY,com.sec.android.app.shealth,0,38a27735-6d2c-4628-b612-6bd237a33f15.achievement.json,38a27735-6d2c-4628-b612-6bd237a33f15,1.62423E+12
1955,082a111e-f655-49da-9b46-a5fcfe90fe6a.binning_data.json,1037095,10000,0,00:01.3,com.sec.android.app.shealth,00:01.3,,1.3714068,1422.28,61.739998,1955,EIy+BrLOSY,com.sec.android.app.shealth,0,082a111e-f655-49da-9b46-a5fcfe90fe6a.achievement.json,082a111e-f655-49da-9b46-a5fcfe90fe6a,1.62415E+12
